EB_id,area,npix,ypix,xpix
461dac,0.04,1,151,172
58801d,0.01,1,148,172
44021e,0.02,1,145,171
88b260,0.13,1,148,169
14e19d,0.06,1,146,169
2d13eb,0.03,1,145,170
1a37a8,0.11,1,146,171
83a7c9,0.06,1,145,170
e0898d,0.27,1,147,169
b61ba3,0.02,1,146,169
705701,0.01,1,152,174
147232,0.11,1,150,173
37bca1,0.02,1,151,173
f1b2dd,0.01,1,151,173
edd9c4,0.02,1,152,169
7468,0.06,1,146,169
583d26,0.04,1,147,169
15272c,0.02,1,152,173
376446,0.02,1,150,171
5489fa,0.02,1,147,169
321ef2,0.13,1,151,171
3997bf,0.12,1,148,167
aa2dda,0.38,1,152,170
316a6,0.02,1,151,172
20a9f4,0.02,1,150,170
e9eeb4,0.05,1,151,170
e899a7,0.03,1,148,166
ad3c21,0.02,1,153,171
d36759,0.05,1,152,169
5256fa,0.05,1,154,171
d4cf1a,0.02,1,148,166
803589,0.01,1,146,169
2c6051,0.02,1,147,169
81c723,0.01,1,149,172
5eb918,0.01,1,152,173
7e18fa,0.01,1,147,172
d5ebbf,0.02,1,150,168
c10fbe,0.05,1,150,172
ded4ea,0.02,1,152,174
a698bb,0.02,1,150,173
b273e0,0.02,1,152,173
9c06de,0.57,1,146,172
fec333,0.03,1,145,170
b7b6e0,0.02,1,146,170
728358,0.04,1,151,174
5f1265,0.02,1,149,173
7935d9,0.01,1,151,174
97d576,0.1,1,150,173
f437a3,0.02,1,148,171
7768e3,0.03,1,150,173
e07cf0,0.03,1,150,173
fd9542,0.02,1,148,171
249b2e,0.08,1,149,167
ca5eac,0.01,1,151,172
6f861,0.02,1,150,169
30268d,0.04,1,147,168
456443,0.03,1,150,170
e6553e,0.02,1,150,170
9076ec,0.03,1,151,170
c2e8e2,0.35,2,-99,-99
38add8,0.07,1,148,167
6229f5,0.02,1,153,171
f15d9c,0.05,1,150,168
38f09d,0.02,1,149,166
ddbdf0,0.01,1,153,170
1641f2,0.01,1,149,172
429c05,0.01,1,152,170
155709,0.01,1,148,167
ecce72,0.02,1,150,169
9a9928,0.07,1,146,171
fa5ed1,0.07,1,147,169
aee943,0.05,1,146,170
3e38c2,0.15,1,152,169
1020ee,0.03,1,148,168
79a2fa,0.06,1,152,173
9f8803,0.02,1,151,171
aa1f4e,0.01,1,151,172
5402b7,0.05,1,149,169
9b4dd1,0.14,1,149,170
a6c20f,0.01,1,149,169
9f0f47,0.54,1,151,170
d63f59,0.05,1,150,168
d339f5,0.03,1,150,171
b1fe90,0.06,1,148,168
8259fe,0.04,1,147,167
a3a012,0.01,1,151,170
7c4b2e,0.03,1,150,169
f0bccb,0.04,1,149,168
13819d,0.05,1,153,172
16cbf,0.03,1,151,168
e30eeb,0.02,1,150,169
2cd255,0.05,1,151,169
f8cfc5,0.44,2,-99,-99
eb71fc,0.1,1,150,168
bbfaf7,0.04,1,152,170
121814,0.27,1,151,169
940a88,0.02,1,148,166
9b7585,0.01,1,145,170
ce1eda,0.03,1,147,172
884c3f,0.01,1,151,175
f78a4b,0.01,1,152,171
f872ef,0.01,1,148,167
681208,0.01,1,150,169
ce8659,0.01,1,150,169
ba9509,0.03,1,148,168
d9c3cb,0.03,1,145,170
d0e2b9,0.21,1,147,171
a6abf8,0.02,1,149,174
f7c9f5,0.02,1,149,172
d720ce,0.31,1,151,175
44786b,0.02,1,148,171
dd591f,0.02,1,148,172
875c7c,0.02,1,150,172
db104d,0.3,1,149,172
432169,0.04,1,152,170
c8562d,0.09,1,149,167
6861ff,0.02,1,151,170
ffddbf,0.01,1,148,168
43c2d9,0.01,1,151,170
1d0cc4,0.78,1,151,170
c18e89,0.03,1,153,170
7c4c50,0.02,1,148,167
762e6f,0.01,1,148,167
9e1313,0.02,1,152,170
8c27fe,0.33,1,149,168
e1c701,0.03,1,153,171
522d51,0.01,1,148,171
9a70b8,0.03,1,148,172
4386da,0.06,1,148,170
e1ad98,0.01,1,151,174
e04e5d,0.04,1,148,167
36fd02,0.01,1,151,171
d1d121,0.04,1,151,171
c2006d,0.61,2,-99,-99
11578a,0.04,1,151,171
59ddba,0.06,1,148,167
c87008,0.03,1,150,174
cba853,0.06,1,148,167
1142a0,0.07,1,145,170
e2837a,0.02,1,147,172
21e9da,0.01,1,148,173
bd95a4,0.03,1,151,175
6132dd,0.04,1,145,170
bd1920,0.06,1,146,171
22ee2f,1.17,1,148,173
2cf29,0.01,1,145,170
2f95cd,0.03,1,148,171
ad99ae,0.02,1,150,173
5418ec,0.02,1,145,170
4ea899,0.04,1,151,174
9104e8,0.03,1,147,170
304e0a,0.02,1,150,172
d896f7,0.03,1,150,173
870938,0.23,2,-99,-99
b9efd0,0.03,1,148,172
600f1c,0.04,1,148,169
5645d,0.16,1,149,167
f29856,0.01,1,151,171
4056dc,0.01,1,151,173
de8f19,0.01,1,148,168
25c8d6,0.06,1,152,172
28bf25,0.03,1,151,171
b5c5ae,0.01,1,150,170
866795,0.05,1,149,170
93e727,0.03,1,148,168
42785,0.25,1,151,170
9a95ac,0.03,1,149,169
d8e7bf,0.04,1,149,167
94b50,0.03,1,151,170
1c62b4,0.01,1,152,169
43b63c,0.48,2,-99,-99
423004,0.04,1,150,168
dbd5a0,0.19,1,149,167
93262b,0.01,1,144,171
18f5f,0.02,1,146,169
e52f6f,0.01,1,150,169
9c69ad,0.04,1,149,173
4dac93,0.16,1,151,169
7bfe4f,0.02,1,148,173
ddf9a8,0.17,1,149,173
25b3b3,0.01,1,148,172
2fabab,0.05,1,150,175
a4cf2a,0.02,1,147,170
b4a7c,0.04,1,151,172
f806b5,0.02,1,146,170
590844,0.01,1,151,174
647013,0.01,1,146,169
7e5c32,0.04,1,150,172
1649b2,0.03,1,152,174
bca42e,0.01,1,152,174
8509ed,0.04,1,149,167
fc1c91,0.35,2,-99,-99
b7951b,0.08,1,152,173
ea2de2,0.41,1,149,170
edef23,0.02,1,150,171
f3b58b,0.01,1,152,170
8ae73,0.01,1,148,169
95bdaf,0.05,1,148,168
12222e,0.02,1,150,171
44851,0.02,1,148,169
d2c521,0.03,1,151,169
4ddf38,0.02,1,152,170
a32aa7,0.01,1,151,171
3da67c,0.02,1,151,169
8e763c,0.05,1,150,169
51fe81,0.24,1,150,169
ba7d41,0.02,1,148,166
de8e8d,0.05,1,152,169
922a3e,0.03,1,151,169
58a166,0.01,1,147,172
327056,0.01,1,148,172
d37ab3,0.04,1,146,169
b794f0,0.02,1,150,173
623d3d,0.04,1,149,172
ad8150,0.02,1,150,169
1ac953,0.01,1,151,173
90db8b,0.03,1,147,169
934dc6,0.02,1,151,173
598d09,0.01,1,150,168
a96b95,0.06,1,145,171
48ddd6,0.03,1,146,172
b09c9a,0.05,1,144,170
6fea32,0.02,1,145,170
183517,0.03,1,145,170
92fec,0.05,1,146,170
1da2b6,0.04,1,146,170
306ce,0.05,1,146,170
a1e748,0.04,1,151,174
4d3354,0.02,1,149,173
e685a0,0.07,1,147,171
9b1127,0.02,1,149,172
56108,0.02,1,150,173
b36512,0.04,1,148,170
3f7155,0.04,1,150,172
c3c38e,0.07,1,148,170
c3a24b,0.35,1,150,172
4559f,0.03,1,150,172
3eab57,0.03,1,147,169
af9cdb,0.02,1,147,168
8949ec,0.11,1,149,170
705ccb,0.01,1,148,169
d934cc,0.03,1,147,169
d719f9,0.27,1,150,170
4fcd13,0.27,1,148,169
df8f0e,0.01,1,148,169
765fc,0.02,1,153,171
134a51,0.02,1,148,166
546e12,0.02,1,149,169
7ab2ca,0.12,1,151,170
2f4967,0.02,1,150,169
982515,0.03,1,150,169
b17aa3,0.02,1,153,171
b0195a,0.04,1,151,169
7eb7bf,0.1,1,152,170
2eaa3,0.04,1,152,169
a15d57,0.01,1,145,170
541f12,0.06,1,148,170
19671b,0.1,1,149,167
3bb292,0.04,1,153,171
58cefb,0.21,1,152,170
e92496,0.01,1,152,172
f68b85,0.09,1,148,168
6c6d84,0.01,1,146,171
9c4604,0.01,1,146,172
ab4831,0.06,1,150,175
